"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","SA1","REM"
"99734899999","2025-01-01T00:00:00","4","24.55","-81.8","7.0","KEY WEST, FL US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0241,1","+9999,9","10157,1","3,1,012,1,+999,9","5,99,0000,1,999","+242,1","SYN080KYWF1 46/// /0000 10241 40157 53012 90000 222// 00242 333 91200 555 11000 22000="
"99734899999","2025-01-01T01:00:00","4","24.55","-81.8","7.0","KEY WEST, FL US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0238,1","+9999,9","10165,1","3,1,019,1,+999,9","5,99,0010,1,999","+243,1","SYN080KYWF1 46/// /0000 10238 40165 53019 90100 222// 00243 333 91202 555 11001 22001="
"99734899999","2025-01-01T02:00:00","4","24.55","-81.8","7.0","KEY WEST, FL US","FM-13","99999","V020","190,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0236,1","+9999,9","10168,1","1,1,016,1,+999,9","5,99,0015,1,999","+242,1","SYN080KYWF1 46/// /1903 10236 40168 51016 90200 222// 00242 333 91203 555 11002 22003="
"99734899999","2025-01-01T03:00:00","4","24.55","-81.8","7.0","KEY WEST, FL US","FM-13","99999","V020","190,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0236,1","+9999,9","10171,1","1,1,014,1,+999,9","5,99,0021,1,999","+241,1","SYN080KYWF1 46/// /1903 10236 40171 51014 90300 222// 00241 333 91204 555 11003 22003="
"99734899999","2025-01-01T04:00:00","4","24.55","-81.8","7.0","KEY WEST, FL US","FM-13","99999","V020","210,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0234,1","+9999,9","10173,1","1,1,008,1,+999,9","5,99,0005,1,999","+241,1","SYN080KYWF1 46/// /2101 10234 40173 51008 90400 222// 00241 333 91201 555 11001 22001="
"99734899999","2025-01-01T05:00:00","4","24.55","-81.8","7.0","KEY WEST, FL US","FM-13","99999","V020","280,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0229,1","+9999,9","10169,1","9,9,000,1,+999,9","5,99,0005,1,999","+241,1","SYN080KYWF1 46/// /2801 10229 40169 50000 90500 222// 00241 333 91201 555 11001 22001="
"99734899999","2025-01-01T06:00:00","4","24.55","-81.8","7.0","KEY WEST, FL US","FM-13","99999","V020","360,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0234,1","+9999,9","10167,1","7,1,004,1,+999,9","5,99,0010,1,999","+241,1","SYN080KYWF1 46/// /3601 10234 40167 57004 90600 222// 00241 333 91202 555 11001 22001="
"99734899999","2025-01-01T07:00:00","4","24.55","-81.8","7.0","KEY WEST, FL US","FM-13","99999","V020","350,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0235,1","+9999,9","10167,1","6,1,006,1,+999,9","5,99,0021,1,999","+241,1","SYN080KYWF1 46/// /3503 10235 40167 56006 90700 222// 00241 333 91204 555 11002 22003="
"99734899999","2025-01-01T08:00:00","4","24.55","-81.8","7.0","KEY WEST, FL US","FM-13","99999","V020","340,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0232,1","+9999,9","10164,1","8,1,005,1,+999,9","5,99,0026,1,999","+241,1","SYN080KYWF1 46/// /3404 10232 40164 58005 90800 222// 00241 333 91205 555 11003 22004="
"99734899999","2025-01-01T09:00:00","4","24.55","-81.8","7.0","KEY WEST, FL US","FM-13","99999","V020","350,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0228,1","+9999,9","10165,1","4,1,000,1,+999,9","5,99,0031,1,999","+241,1","SYN080KYWF1 46/// /3506 10228 40165 54000 90900 222// 00241 333 91206 555 11005 22006="
"99734899999","2025-01-01T10:00:00","4","24.55","-81.8","7.0","KEY WEST, FL US","FM-13","99999","V020","360,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0228,1","+9999,9","10169,1","5,1,000,1,+999,9","5,99,0046,1,999","+240,1","SYN080KYWF1 46/// /3608 10228 40169 55000 91000 222// 00240 333 91209 555 11007 22008="
"99734899999","2025-01-01T11:00:00","4","24.55","-81.8","7.0","KEY WEST, FL US","FM-13","99999","V020","360,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0227,1","+9999,9","10176,1","3,1,012,1,+999,9","5,99,0057,1,999","+240,1","SYN080KYWF1 46/// /3608 10227 40176 53012 91100 222// 00240 333 91211 555 11008 22009="
"99734899999","2025-01-01T12:00:00","4","24.55","-81.8","7.0","KEY WEST, FL US","FM-13","99999","V020","020,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0223,1","+9999,9","10183,1","3,1,018,1,+999,9","5,99,0026,1,999","+241,1","SYN080KYWF1 46/// /0203 10223 40183 53018 91200 222// 00241 333 91205 555 11003 22003="
"99734899999","2025-01-01T13:00:00","4","24.55","-81.8","7.0","KEY WEST, FL US","FM-13","99999","V020","020,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0225,1","+9999,9","10189,1","1,1,020,1,+999,9","5,99,0036,1,999","+241,1","SYN080KYWF1 46/// /0204 10225 40189 51020 91300 222// 00241 333 91207 555 11004 22004="
"99734899999","2025-01-01T14:00:00","4","24.55","-81.8","7.0","KEY WEST, FL US","FM-13","99999","V020","020,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0232,1","+9999,9","10197,1","3,1,021,1,+999,9","5,99,0046,1,999","+241,1","SYN080KYWF1 46/// /0205 10232 40197 53021 91400 222// 00241 333 91209 555 11005 22006="
"99734899999","2025-01-01T15:00:00","4","24.55","-81.8","7.0","KEY WEST, FL US","FM-13","99999","V020","030,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0235,1","+9999,9","10201,1","1,1,018,1,+999,9","5,99,0062,1,999","+241,1","SYN080KYWF1 46/// /0309 10235 40201 51018 91500 222// 00241 333 91212 555 11009 22009="
"99734899999","2025-01-01T16:00:00","4","24.55","-81.8","7.0","KEY WEST, FL US","FM-13","99999","V020","020,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0237,1","+9999,9","10202,1","1,1,013,1,+999,9","5,99,0046,1,999","+240,1","SYN080KYWF1 46/// /0206 10237 40202 51013 91600 222// 00240 333 91209 555 11006 22007="
"99734899999","2025-01-01T17:00:00","4","24.55","-81.8","7.0","KEY WEST, FL US","FM-13","99999","V020","040,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0232,1","+9999,9","10199,1","9,9,000,1,+999,9","5,99,0051,1,999","+242,1","SYN080KYWF1 46/// /0407 10232 40199 50000 91700 222// 00242 333 91210 555 11007 22007="
"99734899999","2025-01-01T18:00:00","4","24.55","-81.8","7.0","KEY WEST, FL US","FM-13","99999","V020","030,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0229,1","+9999,9","10191,1","8,1,010,1,+999,9","5,99,0051,1,999","+245,1","SYN080KYWF1 46/// /0305 10229 40191 58010 91800 222// 00245 333 91210 555 11005 22005="
"99734899999","2025-01-01T19:00:00","4","24.55","-81.8","7.0","KEY WEST, FL US","FM-13","99999","V020","360,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0232,1","+9999,9","10186,1","8,1,016,1,+999,9","5,99,0051,1,999","+245,1","SYN080KYWF1 46/// /3609 10232 40186 58016 91900 222// 00245 333 91210 555 11009 22009="
